direction,v1,v2,v3,v4,v5,v6,v7,v8,rater_model,topic_id,sample_id,source,,error,2,pmid
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T01,1.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,0.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,2.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,3.0,ai,,,,
SUPPORTS,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T01,4.0,ai,,,,
SUPPORTS,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T01,5.0,ai,,,,
SUPPORTS,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T01,6.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,7.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,8.0,ai,,,,
SUPPORTS,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T01,9.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,10.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,11.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,12.0,ai,,,,
,,,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,13.0,ai,1.0,,,
SUPPORTS,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,14.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T01,15.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T01,16.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,17.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,18.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,19.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T01,20.0,ai,,,,
SUPPORTS,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,anthropic/claude-sonnet-4.5,T01,21.0,ai,,,,
SUPPORTS,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T01,22.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,23.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,24.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T01,25.0,ai,,,,
SUPPORTS,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,anthropic/claude-sonnet-4.5,T01,26.0,ai,,,,
SUPPORTS,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,anthropic/claude-sonnet-4.5,T01,27.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,28.0,ai,,,,
SUPPORTS,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,anthropic/claude-sonnet-4.5,T01,29.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T02,0.0,ai,,,,
REFUTES,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,anthropic/claude-sonnet-4.5,T02,1.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T02,2.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T02,3.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T02,4.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T02,5.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T02,6.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T02,7.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T02,8.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T02,9.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T02,10.0,ai,,,,
,,,,,,,,,deepseek/deepseek-chat-v3.1,T02,11.0,ai,,Expecting value: line 1 column 40 (char 39),,
SUUTRAL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T02,12.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T02,13.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T02,14.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T02,15.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T02,16.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,anthropic/claude-sonnet-4.5,T02,17.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T02,18.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T02,19.0,ai,,,,
REFUTES,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T02,20.0,ai,,,,
NEUTRAL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T02,21.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T02,22.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T02,23.0,ai,,,,
REFUTES,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T02,24.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T02,25.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T02,26.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T02,27.0,ai,,,,
NEUTRAL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T02,28.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T02,29.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T03,0.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T03,1.0,ai,,,,
SUPPORTS,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,anthropic/claude-sonnet-4.5,T03,2.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T03,3.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T03,4.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T03,5.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T03,6.0,ai,,,,
SUPPORTS,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T03,7.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T03,8.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,anthropic/claude-sonnet-4.5,T03,9.0,ai,,,,
SUPPORTS,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T03,10.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T03,11.0,ai,,,,
SUPPORTS,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,anthropic/claude-sonnet-4.5,T03,12.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T03,13.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T03,14.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T03,15.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T03,16.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,deepseek/deepseek-chat-v3.1,T03,17.0,ai,,,,
SUPPORTS,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T03,18.0,ai,,,,
SUPPORTS,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,anthropic/claude-sonnet-4.5,T03,19.0,ai,,,,
SUPPORTS,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,anthropic/claude-sonnet-4.5,T03,20.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T03,21.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T03,22.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T03,23.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T03,24.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T03,25.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T03,26.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,anthropic/claude-sonnet-4.5,T03,27.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T03,28.0,ai,,,,
SUPPORTS,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,anthropic/claude-sonnet-4.5,T03,29.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T04,0.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T04,1.0,ai,,,,
SUPPORTS,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T04,2.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T04,3.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T04,4.0,ai,,,,
SUPPORTS,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,anthropic/claude-sonnet-4.5,T04,5.0,ai,,,,
SUPPORTS,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T04,6.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T04,7.0,ai,,,,
NEUTRAL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,anthropic/claude-sonnet-4.5,T04,8.0,ai,,,,
SUPPORTS,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,anthropic/claude-sonnet-4.5,T04,9.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T04,10.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T04,11.0,ai,,,,
SUPPORTS,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T04,12.0,ai,,,,
SUPPORTS,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T04,13.0,ai,,,,
SUPPORTS,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,anthropic/claude-sonnet-4.5,T04,14.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T04,15.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T04,16.0,ai,,,,
SUPPORTS,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T04,17.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T04,18.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T04,19.0,ai,,,,
SUPPORTS,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T04,20.0,ai,,,,
SUPPORTS,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T04,21.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T04,22.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T04,23.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T04,24.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T04,25.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T04,26.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T04,27.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T04,28.0,ai,,,,
SUPPORTS,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,anthropic/claude-sonnet-4.5,T04,29.0,ai,,,,
SUPPORTS,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T05,0.0,ai,,,,
REFUTES,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,anthropic/claude-sonnet-4.5,T05,1.0,ai,,,,
,,,,,,,,,deepseek/deepseek-chat-v3.1,T05,2.0,ai,,"Expecting ',' delimiter: line 1 column 61 (char 60)",,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T05,3.0,ai,,,,
SUPPORTS,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T05,4.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T05,5.0,ai,,,,
REFUTES,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,anthropic/claude-sonnet-4.5,T05,6.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T05,7.0,ai,,,,
REFUTES,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,anthropic/claude-sonnet-4.5,T05,8.0,ai,,,,
SUPPORTS,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T05,9.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,10.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,11.0,ai,,,,
SUPPORTS,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,anthropic/claude-sonnet-4.5,T05,12.0,ai,,,,
SUPPORTS,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T05,13.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,anthropic/claude-sonnet-4.5,T05,14.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,15.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,16.0,ai,,,,
SUPPORTS,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,anthropic/claude-sonnet-4.5,T05,17.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,18.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,19.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,20.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,21.0,ai,,,,
SUPPORTS,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,anthropic/claude-sonnet-4.5,T05,22.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,anthropic/claude-sonnet-4.5,T05,23.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,24.0,ai,,,,
REFUTES,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,anthropic/claude-sonnet-4.5,T05,25.0,ai,,,,
REFUTES,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,26.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,27.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,anthropic/claude-sonnet-4.5,T05,28.0,ai,,,,
REFUTES,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T05,29.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T06,0.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T06,1.0,ai,,,,
REFUTES,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,anthropic/claude-sonnet-4.5,T06,2.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T06,3.0,ai,,,,
SUPPORTS,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T06,4.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,anthropic/claude-sonnet-4.5,T06,5.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T06,6.0,ai,,,,
REFUTES,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T06,7.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,anthropic/claude-sonnet-4.5,T06,8.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T06,9.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T06,10.0,ai,,,,
NEUTRAL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T06,11.0,ai,,,,
REFUTES,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T06,12.0,ai,,,,
REFUTES,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,anthropic/claude-sonnet-4.5,T06,13.0,ai,,,,
